验证节点数：25	实际验证：25		运行时间:0.027933		聚合验证时间:0.021857		存储量：23103
验证节点数：25	实际验证：25		运行时间:0.027652		聚合验证时间:0.022118		存储量：23103
验证节点数：25	实际验证：25		运行时间:0.023724		聚合验证时间:0.019085		存储量：23103
验证节点数：25	实际验证：25		运行时间:0.026068		聚合验证时间:0.020701		存储量：23103
验证节点数：25	实际验证：25		运行时间:0.025534		聚合验证时间:0.020558		存储量：23103
验证节点数：25	实际验证：25		运行时间:0.029259		聚合验证时间:0.022804		存储量：23103
验证节点数：25	实际验证：25		运行时间:0.026728		聚合验证时间:0.020771		存储量：23103
验证节点数：25	实际验证：25		运行时间:0.026884		聚合验证时间:0.021439		存储量：23103
验证节点数：25	实际验证：25		运行时间:0.025605		聚合验证时间:0.021137		存储量：23103
验证节点数：25	实际验证：25		运行时间:0.026145		聚合验证时间:0.021077		存储量：23103
验证节点数：30	实际验证：30		运行时间:0.036149		聚合验证时间:0.026236		存储量：27703
验证节点数：30	实际验证：30		运行时间:0.032562		聚合验证时间:0.025171		存储量：27703
验证节点数：30	实际验证：30		运行时间:0.032669		聚合验证时间:0.025470		存储量：27703
验证节点数：30	实际验证：30		运行时间:0.035658		聚合验证时间:0.025024		存储量：27703
验证节点数：30	实际验证：30		运行时间:0.034007		聚合验证时间:0.024487		存储量：27703
验证节点数：30	实际验证：30		运行时间:0.036374		聚合验证时间:0.026699		存储量：27703
验证节点数：30	实际验证：30		运行时间:0.034488		聚合验证时间:0.026321		存储量：27703
验证节点数：30	实际验证：30		运行时间:0.032979		聚合验证时间:0.025230		存储量：27703
验证节点数：30	实际验证：30		运行时间:0.034863		聚合验证时间:0.025513		存储量：27703
验证节点数：30	实际验证：30		运行时间:0.032258		聚合验证时间:0.024361		存储量：27703
验证节点数：30	实际验证：30		运行时间:0.034281		聚合验证时间:0.026353		存储量：27703
验证节点数：30	实际验证：30		运行时间:0.032735		聚合验证时间:0.024203		存储量：27703
验证节点数：30	实际验证：30		运行时间:0.034096		聚合验证时间:0.024456		存储量：27703
验证节点数：30	实际验证：30		运行时间:0.031110		聚合验证时间:0.023379		存储量：27703
验证节点数：30	实际验证：30		运行时间:0.032014		聚合验证时间:0.024507		存储量：27703
验证节点数：30	实际验证：30		运行时间:0.031285		聚合验证时间:0.024648		存储量：27703
验证节点数：30	实际验证：30		运行时间:0.034812		聚合验证时间:0.025510		存储量：27703
验证节点数：30	实际验证：30		运行时间:0.036207		聚合验证时间:0.028268		存储量：27703
验证节点数：30	实际验证：30		运行时间:0.037605		聚合验证时间:0.026906		存储量：27703
验证节点数：30	实际验证：30		运行时间:0.033019		聚合验证时间:0.023877		存储量：27703
验证节点数：35	实际验证：35		运行时间:0.033853		聚合验证时间:0.026106		存储量：32303
验证节点数：35	实际验证：35		运行时间:0.038361		聚合验证时间:0.028356		存储量：32303
验证节点数：35	实际验证：35		运行时间:0.035001		聚合验证时间:0.025986		存储量：32303
验证节点数：35	实际验证：35		运行时间:0.036245		聚合验证时间:0.028110		存储量：32303
验证节点数：35	实际验证：35		运行时间:0.036998		聚合验证时间:0.027981		存储量：32303
验证节点数：35	实际验证：35		运行时间:0.038569		聚合验证时间:0.029356		存储量：32303
验证节点数：35	实际验证：35		运行时间:0.036064		聚合验证时间:0.027450		存储量：32303
验证节点数：35	实际验证：35		运行时间:0.034443		聚合验证时间:0.028199		存储量：32303
验证节点数：35	实际验证：35		运行时间:0.035248		聚合验证时间:0.028100		存储量：32303
